source_url,related,animal_context_summary,affect_summary.,date_introduced,affect_summary,raw_output,mentions_of_lobbying,bill_title,sentiment_towards_animal_welfare,id,summary,ministry,animal_agriculture_relevant
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/banking89202450403PM.pdf?source=legislation,no,"The bill text provided does not contain any sections or provisions related to animals, animal welfare, animal testing, livestock, dairy, or the meat industry.","This bill is exclusively focused on amending banking and financial laws in India. It contains no provisions that directly or indirectly impact animal welfare, animal agriculture, or related policies. Therefore, it is anticipated to have no effect on animal welfare policy.",2024 (specific day/month not provided),,,[],"THE BANKING LAWS (AMENDMENT) BILL, 2024",Neutral,48,"This bill proposes amendments to several key Indian banking acts, including the Reserve Bank of India Act, 1934, and the Banking Regulation Act, 1949. The amendments focus on redefining banking terms like 'fortnight', adjusting reporting frequencies for banks, modifying monetary thresholds for certain provisions, and clarifying rules regarding the tenure and eligibility of directors in cooperative banks.","Ministry of Finance (Implied, as it concerns banking laws)",False
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/AS%20INTRO892024125642PM.pdf?source=legislation,no,"No sections related to animals, animal welfare, animal testing, livestock, dairy, or the meat industry are present in this bill.","This bill concerns commercial law related to shipping documents (Bills of Lading) and has no direct or indirect impact on animal welfare policy, animal agriculture, or any related animal issues.","2024 (specific date not mentioned, inferred from bill title)",,,[],"THE BILLS OF LADING BILL, 2024",Neutral,49,"This bill seeks to amend the law relating to Bills of Lading, specifically transferring rights of suit and liabilities from the original shipper/owner to the consignee or endorsee when property in the goods passes. It clarifies the legal standing of bills of lading, making them conclusive evidence of shipment against the master or signer, with certain provisos. The bill also repeals and replaces the Indian Bills of Lading Act, 1856.","Not explicitly stated, but typically falls under Ministry of Ports, Shipping and Waterways or Ministry of Commerce and Industry (given it's an Indian bill concerning shipping and trade).",False
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/As%20INTRO89202434335PM.pdf?source=legislation,no,"No sections related to animals, animal welfare, animal testing, livestock, dairy, or the meat industry were found in the provided text.",This bill is focused on the commercial and legal aspects of transporting goods by sea and does not contain any provisions that would directly or indirectly affect animal welfare policy. Its scope is limited to defining the rights and responsibilities of carriers and shippers.,"Not specified, but introduced in Lok Sabha in 2024",,,[],"THE CARRIAGE OF GOODS BY SEA BILL, 2024",Neutral,50,"This bill seeks to establish the responsibilities, liabilities, rights, and immunities of carriers concerning the carriage of goods by sea in India. It aims to incorporate and modify international rules (Hague-Visby Rules) relating to bills of lading, defining legal frameworks for shipping contracts, seaworthiness, and bulk cargo, thereby replacing older legislation.","Central Government (likely Ministry of Ports, Shipping and Waterways or similar, though not explicitly stated)",False
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/AS%20INTRO-2892024123726PM.pdf?source=legislation,no,,"This bill focuses on the administrative and legal framework of the railway system in India, specifically concerning the statutory establishment and functioning of the Railway Board. It has no direct or indirect impact on animal welfare policy, animal agriculture, animal testing, or related issues.",2024 (specific date not provided),,,[],"The Railways (Amendment) Bill, 2024",Neutral,51,"This bill aims to amend the Railways Act, 1989, primarily by formally constituting the Railway Board through statute. It integrates the functions and powers of the Railway Board, which were previously governed by a 1905 Resolution, into the main Act. The bill also simplifies the legal framework by repealing the Indian Railway Board Act, 1905, and incorporating its proposals into the 1989 Act.","Ministry of Railways (implied, as it concerns railways)",False
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/MUSSALMAN%20WAKF%20202488202435239PM.pdf?source=legislation,no,None. The bill focuses on the repeal of an act related to waqf (religious endowments) property management.,"This bill focuses entirely on repealing an outdated law concerning the management of Mussalman (Islamic) waqf properties in India. It does not contain any provisions or implications for animal welfare, animal testing, livestock, dairy, or the meat industry, and therefore, it will have no direct or indirect effect on animal welfare policy.","6th August, 2024",,,"None explicitly mentioned beyond Shri Kiren Rijiju, Minister of Minority Affairs, who introduced the bill.","THE MUSSALMAN WAKF (REPEAL) BILL, 2024",Neutral,52,"This Bill proposes to repeal the Mussalman Wakf Act, 1923, which is identified as an outdated colonial-era legislation. The aim is to ensure uniformity, transparency, and accountability in the administration and management of waqf properties. By repealing the 1923 Act, the Bill seeks to remove inconsistencies and ambiguities, allowing for the sole application of the Waqf Act, 1995, for waqf property management.",Ministry of Minority Affairs,False
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/MUSSALMAN%20WAKF%20202488202435239PM.pdf?source=legislation,no,N/A - This bill does not pertain to animals or animal agriculture.,This bill has no bearing on animal welfare policy as its scope is limited to the administration and management of waqf properties.,"6th August, 2024",,,[],"THE MUSSALMAN WAKF (REPEAL) BILL, 2024",Neutral,53,"This Bill proposes to repeal the Mussalman Wakf Act, 1923, an outdated colonial-era legislation. The repeal aims to ensure uniformity, transparency, and accountability in the administration and management of waqf properties. This will be achieved by streamlining the process under the existing Waqf Act, 1995, thereby eliminating inconsistencies and ambiguities from the older Act.",Minister of Minority Affairs,False
"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/THE%20WAQF%20(AMENDMENT)%20BILL,%20202488202441731PM.pdf?source=legislation",no,"N/A - The bill text contains no mention or relevance to animals, animal welfare, animal testing, livestock, dairy, or the meat industry. It exclusively deals with the administration and legal framework of Waqf properties and related matters.","This bill has no discernible impact on animal welfare policy, as its scope is entirely focused on the legal and administrative aspects of Waqf properties in India.",2024 (as per Bill No. 109 of 2024),,,[],"THE WAQF (AMENDMENT) BILL, 2024",Neutral,54,"The Waqf (Amendment) Bill, 2024 seeks to further amend the Waqf Act, 1995. Key changes include redefining 'Waqf' to 'Unified Waqf Management, Empowerment, Efficiency and Development,' introducing new definitions such as 'Aghakhani waqf' and 'Bohra waqf,' and clarifying what constitutes 'Government property' in relation to Waqf. It also mandates the creation of a digital portal and database for the registration and detailed reporting of all Waqf properties, and introduces conditions for the creation of new Waqfs, ensuring inheritance rights are not denied.","Not explicitly mentioned in the provided text, but typically falls under the Ministry of Minority Affairs in India.",False
"https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/THE%20WAQF%20(AMENDMENT)%20BILL,%20202488202441731PM.pdf?source=legislation",no,Not applicable as the bill is not animal-related.,Not applicable as the bill is not animal-related.,2024 (specific date not provided),,,None mentioned in the provided text.,"THE WAQF (AMENDMENT) BILL, 2024",Neutral,55,"This bill proposes amendments to the Waqf Act, 1995. It renames the Act for 'Unified Waqf Management, Empowerment, Efficiency and Development,' introduces new definitions for various types of Waqf and property, and clarifies the conditions for creating a waqf, ensuring lawful ownership and protection of inheritance rights. Furthermore, it mandates the digital submission of waqf details to a central portal and explicitly prevents government property from being declared as waqf property.",Central Government (specific ministry not specified in the provided text),False
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/goa852024124017PM.pdf?source=legislation,no,"N/A - The bill does not contain any content related to animals, animal welfare, animal testing, livestock, dairy, or the meat industry.",N/A - This bill is entirely focused on electoral representation and delimitation for Scheduled Tribes in the State of Goa and has no discernible impact on animal welfare policy.,2024 (as introduced in Lok Sabha),,,[],"THE READJUSTMENT OF REPRESENTATION OF SCHEDULED TRIBES IN ASSEMBLY CONSTITUENCIES OF THE STATE OF GOA BILL, 2024",Neutral,56,"This bill seeks to readjust the representation of Scheduled Tribes in the Legislative Assembly constituencies of the State of Goa. It aims to enable the reservation of seats in accordance with Article 332 of the Constitution, necessitated by the recent inclusion of certain communities in the list of Scheduled Tribes in Goa. The bill outlines the process for the Census Commissioner to ascertain updated population figures and for the Election Commission to amend the Delimitation Order accordingly.",Ministry of Law and Justice / Parliament of India (responsible for electoral and constitutional matters),False
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/bill%20no-75%20EV85202462524PM.pdf?source=legislation,,,,,,"I apologize, but the government bill text content was not provided. The prompt states: `Here is a government bill text (partial content shown): """"""""""""`.

Without the actual bill text, I cannot perform the requested analysis or extract any information for the specified fields.

Please provide the bill text so I can proceed with the analysis.",,,,57,,,
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/bill%20no-75%20EV85202462524PM.pdf?source=legislation,,,,,,"I apologize, but the bill text content was not provided. The prompt states ""Here is a government bill text (partial content shown): """""" which indicates an empty string.

To perform the analysis and generate the requested JSON, I need the actual text of the government bill.

Please provide the bill text so I can analyze it for you.",,,,58,,,
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/disaster812024123302PM.pdf?source=legislation,no,N/A - No animal-related content found in the provided text.,,Bill No. 98 of 2024; no specific date mentioned beyond the year.,"No direct impact expected on animal welfare policy. The bill focuses exclusively on refining definitions and establishing frameworks for human-centric disaster management, infrastructure protection, and socio-economic resilience, with no mention or implications for animals, livestock, animal welfare, or related industries.",,None found in the provided text.,"THE DISASTER MANAGEMENT (AMENDMENT) BILL, 2024",Neutral,59,"This bill seeks to amend the Disaster Management Act, 2005, by refining and adding new definitions related to disaster management. Key amendments include clarifying 'man-made causes' to exclude law and order matters, defining a 'disaster database,' expanding 'disaster management' to encompass 'disaster risk reduction,' and introducing new definitions for 'disaster risk,' 'evacuation,' 'exposure,' 'hazard,' 'preparedness,' and 'prevention.' It also establishes a 'National Crisis Management Committee' and a 'High Level Committee' and redefines 'National Policy' for disaster objectives.",Not specified; refers to 'Central Government' for implementation.,False
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/vayu%20yan%20latest812024121353PM.pdf?source=legislation,no,"The bill text provided does not contain any provisions or references related to animals, animal welfare, animal testing, livestock, dairy, or the meat industry. Its scope is exclusively focused on civil aviation.","This bill is highly specialized in the field of civil aviation and does not contain any provisions that would directly or indirectly affect animal welfare policy, animal agriculture, or related areas.","2024 (as introduced in Lok Sabha, Bill No. 74 of 2024)",,,[],"THE BHARATIYA VAYUYAN VIDHEYAK, 2024",Neutral,60,"This bill, titled 'The Bharatiya Vayuyan Vidheyak, 2024', aims to regulate and control the design, manufacture, maintenance, possession, use, operation, sale, export, and import of aircraft in India. It establishes key regulatory bodies like the Directorate General of Civil Aviation and the Bureau of Civil Aviation Security, outlines their powers, defines offences and penalties, and grants significant powers to the Central Government for ensuring aviation safety and security.","Ministry of Civil Aviation (implied by content related to civil aviation and establishment of Directorate General of Civil Aviation, Bureau of Civil Aviation Security)",False
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/66_LS_2024_H730202463101PM.pdf?source=legislation,yes,"The bill allocates funds to the 'Animal/Sheep Husbandry Department' (Revenue: Rs. 727,98,21,000; Capital: Rs. 489,49,91,000) and the 'Fisheries Department' (Revenue: Rs. 150,72,04,000; Capital: Rs. 82,45,50,000). These departments are directly involved with livestock, animal rearing, and fishing, which are components of animal agriculture and related industries.","This bill directly impacts animal welfare policy by allocating substantial financial resources to departments responsible for Animal/Sheep Husbandry and Fisheries in Jammu and Kashmir. The provision of these funds is crucial for the operation, development, and regulatory oversight of these sectors. While the bill does not explicitly detail animal welfare initiatives, the availability of funds enables these departments to implement existing policies, develop new programs, and enforce regulations that directly or indirectly affect the well-being, health, and management of animals, livestock, and aquatic life within the Union Territory.",Not specified (introduced in Lok Sabha),,,[],"THE JAMMU AND KASHMIR APPROPRIATION (No.3) BILL, 2024",Neutral,61,"This bill authorizes the appropriation of Rs. 151,525.77 crore from the Consolidated Fund of the Union territory of Jammu and Kashmir for the financial year 2024-25. It details the allocation of these funds across various government departments and services within the Union Territory to cover their operational and capital expenditures.",Finance Department and various other departments of the Union territory of Jammu and Kashmir,True
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/66_LS_2024_H730202463101PM.pdf?source=legislation,yes,"The bill explicitly allocates funds to the 'Animal/Sheep Husbandry Department' (No. 13 in the Schedule). It assigns Revenue funds of Rs. 727,98,21,000 and Capital funds of Rs. 489,49,91,000 to this department for the financial year 2024-25. This funding supports the operations, programs, and development initiatives related to animal and sheep farming within the Union Territory.","This bill directly impacts animal welfare by providing the necessary financial resources for the continued operation and programs of the 'Animal/Sheep Husbandry Department' in Jammu and Kashmir. While not introducing new animal welfare policies, the allocated funds enable the department to carry out its functions, which may include animal health initiatives, breeding programs, and general management of livestock, thus influencing the overall conditions and care of farm animals within the region. Without this appropriation, the department's capacity to address animal-related issues would be severely limited.",N/A,,,None found.,"THE JAMMU AND KASHMIR APPROPRIATION (No.3) BILL, 2024",Neutral,62,"This is an appropriation bill for the Union Territory of Jammu and Kashmir, authorizing the payment and appropriation of a total sum of Rs. 1,51,525,77,43,000 (one lakh fifty-one thousand five hundred twenty-five crore, seventy-seven lakh and forty-three thousand rupees) from its Consolidated Fund for the financial year 2024-25. The bill details the allocation of these funds across various government departments and services within the Union Territory.","Various Departments of the Union Territory of Jammu and Kashmir (overall coordinated by Finance Department), including Animal/Sheep Husbandry Department.",True
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/The%20Finance%20Bill723202421400PM.pdf?source=legislation,no,"No sections or clauses related to animals, animal welfare, animal agriculture, animal testing, livestock, dairy, or meat industry are present in the provided bill text. The bill exclusively deals with financial and tax regulations.",,"Not explicitly mentioned, but stated as ""AS INTRODUCED IN LOK SABHA"" (Lower House of Indian Parliament).","This bill is entirely focused on financial and tax policy. Based on the provided content, it does not appear to have any direct or indirect impact on animal welfare policy, animal agriculture, or any other animal-related issues.",,None mentioned in the provided Arrangement of Clauses.,"THE FINANCE (NO. 2) BILL, 2024",Neutral,63,"This bill, titled The Finance (No. 2) Bill, 2024, primarily focuses on amendments to various tax laws in India. It includes changes to direct taxes, specifically income tax, and introduces 'The Direct Tax Vivad Se Vishwas Scheme, 2024' for dispute resolution. Additionally, it proposes amendments to indirect tax laws, encompassing Customs, Excise, and Central Goods and Services Tax (GST).",Ministry of Finance,False
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/The%20Finance%20Bill723202421400PM.pdf?source=legislation,no,"N/A - The bill text is an arrangement of clauses focusing on finance and taxation and does not contain any sections or provisions related to animals, livestock, animal welfare, animal testing, or the meat/dairy industry.",,Not specified in the provided text (mentioned as 'AS INTRODUCED IN LOK SABHA' but no date).,"This bill, being solely focused on finance, taxation, and revenue collection, does not appear to directly affect animal welfare policy in any discernible way based on the provided partial content.",,"None found in the provided text, which is an arrangement of clauses.","THE FINANCE (NO. 2) BILL, 2024",Neutral,64,"This bill, titled 'The Finance (No. 2) Bill, 2024,' primarily introduces extensive amendments to various direct and indirect tax laws. It covers changes to income tax rates, numerous sections of the Income-tax Act, and proposes a new dispute resolution scheme for direct taxes called 'The Direct Tax Vivad Se Vishwas Scheme, 2024'. Additionally, it includes amendments related to customs, excise, and Central and Integrated Goods and Services Tax (GST).",Ministry of Finance,False
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/19_2024_LS_Eng28202470205PM.pdf?source=legislation,yes,"The bill allocates substantial funds to the 'Department of Agriculture and Farmers Welfare' (Vote 1), with approximately 92,577.56 crore rupees for revenue and 398.5 crore rupees for capital expenditures. This department's mandate includes various aspects of agriculture, which inherently involves livestock, dairy, and potentially fisheries, all of which are directly related to animal agriculture and can have implications for animal welfare.","This bill provides the financial backing for the operations and programs of various government departments, including the Department of Agriculture and Farmers Welfare. By allocating funds to this department, it enables the continuation or expansion of existing policies and initiatives related to animal husbandry, livestock management, and agricultural practices that involve animals. The direct impact on animal welfare policy will depend on how these funds are specifically utilized by the Department of Agriculture and Farmers Welfare – whether for promoting welfare-focused practices, disease control, or supporting industrial animal agriculture, without specifying new policy directives.",Not specified in the provided text.,,,[],"THE APPROPRIATION (VOTE ON ACCOUNT) BILL, 2024",Neutral,65,"This is an Appropriation (Vote on Account) Bill for the financial year 2024-25, authorizing the withdrawal of sums exceeding sixty-one lakh crore rupees from the Consolidated Fund of India. It provides for the necessary funding to cover various government services and departments for a part of the upcoming financial year, as detailed in the accompanying Schedule.","Multiple ministries, with specific relevance to the Department of Agriculture and Farmers Welfare.",True
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/20_2024_LS_Eng28202470335PM.pdf?source=legislation,yes,"The bill directly allocates funds to the 'Department of Animal Husbandry and Dairying' (Vote No. 44) for revenue expenditures, amounting to Rs. 2,00,000. It also includes allocations for the 'Department of Agriculture, Cooperation and Farmers Welfare' (Vote No. 1), which broadly covers agricultural practices, including livestock and dairy farming.","As an appropriation bill, its direct impact on animal welfare policy is indirect. The allocation of funds to the 'Department of Animal Husbandry and Dairying' provides financial resources for the department's operations, which may include existing programs related to animal health, livestock development, dairy production, or potentially animal welfare initiatives. The specific allocation of Rs. 2,00,000 for revenue expenditure for this department is a financial provision, but the bill text does not detail how these funds are specifically intended to affect animal welfare policy beyond supporting the department's general functions.","Not specified, but stated as 'AS INTRODUCED IN LOK SABHA'",,,[],"THE APPROPRIATION BILL, 2024",Neutral,66,"This bill, known as the Appropriation Act, 2024, authorizes the payment and appropriation of specific further sums from India's Consolidated Fund for the services required during the financial year 2023-24. It details the allocations for various government departments and purposes, totaling approximately two hundred thousand two hundred ninety-nine crore and fifty-four lakh Indian Rupees (Rs. 200,299,54,00,000). The bill outlines both revenue and capital expenditures for each listed service.","Various Ministries and Departments, including the Department of Animal Husbandry and Dairying, Department of Agriculture, Department of Food and Public Distribution, Ministry of Defence, Ministry of Finance (various departments), etc.",True
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/21_2024_LS_Eng28202470503PM.pdf?source=legislation,no,"No direct mention of animals, animal welfare, animal testing, livestock, dairy, or the meat industry is found within the bill text. The bill is solely focused on financial appropriations for government services in the Union Territory of Jammu and Kashmir.","As an appropriation bill dealing with the allocation of funds for general government services, this bill has no direct impact or specific provisions related to animal welfare policy. Its focus is purely on financial administration for the Union Territory of Jammu and Kashmir.","2.2.2024 (Date of President's recommendation, indicating proximity to introduction)",,,"['Smt. Nirmala Sitharaman (Minister of Finance and Corporate Affairs)', 'President of India']","THE JAMMU AND KASHMIR APPROPRIATION BILL, 2024",Neutral,67,"This bill, titled the Jammu and Kashmir Appropriation Bill, 2024, seeks to authorize the payment and appropriation of further sums amounting to Rs. 8712.89 crore from the Consolidated Fund of the Union Territory of Jammu and Kashmir for the financial year 2023-24. It outlines allocations for various services including Power Development, Finance, Hospitality, and Cooperative Departments, ensuring funds for the region's supplementary expenditure.",Ministry of Finance and Corporate Affairs,False
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/22_2024_LS_Eng28202470630PM.pdf?source=legislation,yes,"The bill allocates funds to the 'Animal/Sheep Husbandry Department' (Rs. 323,16,85,000 for Revenue and Rs. 222,64,92,000 for Capital) and the 'Fisheries Department' (Rs. 68,55,93,000 for Revenue and Rs. 60,57,50,000 for Capital). These departments are directly involved in the management, development, and welfare aspects of livestock and aquatic life, falling under the broad category of animal agriculture and related industries.","This appropriation bill directly impacts animal welfare policy by allocating funds to departments responsible for animal and fisheries management in Jammu and Kashmir. While the bill itself does not set new policies, the allocated funds will enable the continuation and implementation of existing programs and initiatives within the Animal/Sheep Husbandry and Fisheries Departments. The actual effect on animal welfare will depend on how these departments utilize the funds – whether it prioritizes welfare, production, or other aspects – which is not detailed in this specific financial bill.",As introduced in Lok Sabha (2024 financial year),,,[],"THE JAMMU AND KASHMIR APPROPRIATION (No.2) BILL, 2024",Neutral,68,"This bill seeks to authorize the payment and appropriation of specific sums from the Consolidated Fund of the Union Territory of Jammu and Kashmir for the services of the financial year 2024-25. It allocates a total of seventy-five thousand nine hundred thirty-one crore, ninety-six lakh and ninety-nine thousand rupees across various government departments to cover their expenditures.",Union Territory of Jammu and Kashmir (overall appropriation managed by Finance Department),True
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/15_2024_LS_E252024122603PM.pdf?source=legislation,no,"N/A - This bill contains no content related to animals, animal welfare, animal testing, livestock, dairy, or the meat industry.",This bill is solely focused on preventing malpractices in public examinations and has no direct or indirect bearing on animal welfare policy.,N/A,,,[],"THE PUBLIC EXAMINATIONS (PREVENTION OF UNFAIR MEANS) BILL, 2024",Neutral,69,"This bill, titled The Public Examinations (Prevention of Unfair Means) Bill, 2024, aims to prevent various forms of unfair means in public examinations across India. It defines key terms such as 'candidate', 'communication device', 'organised crime', and outlines specific acts considered 'unfair means', including question paper leakage, unauthorized assistance, and tampering with answer sheets. The objective is to ensure fairness and integrity in the conduct of public examinations.","The Ministry or a Department of the Central Government administratively concerned with the public examination authority (as per ""competent authority"" definition)",False
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/18_2024_LS_E252024124932PM.pdf?source=legislation,no,"Not applicable, as the bill does not contain any sections related to animals.","No direct effect, as the bill pertains to the administration, local self-governance, and electoral processes in Jammu and Kashmir, with no mention or implications for animal welfare policy, animal agriculture, testing, or related industries.","2024 (specific date not mentioned, Bill No. 18 of 2024)",,,"None explicitly mentioned. The bill is presented by Parliament, with references to the Government of India, Central Government, and Lieutenant Governor, who are government entities/positions.","THE JAMMU AND KASHMIR LOCAL BODIES LAWS (AMENDMENT) BILL, 2024",Neutral,70,"This bill seeks to amend the Jammu and Kashmir Panchayati Raj Act, 1989, and the Jammu and Kashmir Municipal Acts of 2000. Its primary objectives are to extend reservations for 'Other Backward Classes' (OBCs) in local self-government bodies (Panchayats and Municipalities) of the Union Territory of Jammu and Kashmir, alongside existing reservations for Scheduled Castes and Scheduled Tribes. Additionally, it modifies the provisions related to the salary, allowances, and removal process of the State Election Commissioner, bringing them in line with those of a High Court Judge.","Not explicitly stated, but enacted by Parliament and involves Central Government decisions for a Union Territory; likely falls under Ministry of Home Affairs or Ministry of Law and Justice.",False
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/14_2024_LS_E22202431042PM.pdf?source=legislation,no,"None. While the bill mentions 'net agricultural income', it pertains solely to its taxation treatment and does not contain any provisions related to animal welfare, animal testing, livestock, dairy, or the meat industry specifically.","This bill is a tax-related legislation focused on income tax rates and calculations. It does not contain any provisions that directly or indirectly affect animal welfare policy, animal agriculture, or related industries.","1st February, 2024",,,[],"THE FINANCE BILL, 2024",Neutral,71,"This bill aims to continue the existing income-tax rates for the financial year 2024-2025. It introduces specific modifications to the Finance Act, 2023, concerning income tax calculations, including provisions related to 'net agricultural income' and adjustments for various taxpayer categories based on age and income thresholds, while providing certain reliefs to taxpayers.","Ministry of Finance (Implicit, as it's a Finance Bill dealing with income tax)",False
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/14_2024_LS_E22202431042PM.pdf?source=legislation,no,"No sections related to animals, animal welfare, animal testing, livestock, dairy, or the meat industry are found within the provided text. The mention of 'net agricultural income' pertains solely to its taxation treatment and does not involve the regulation or promotion of agricultural practices themselves, including animal agriculture.","This bill is a fiscal measure focusing on income tax rates and related provisions. It does not contain any direct policy proposals or regulations concerning animal welfare, animal testing, livestock, dairy, or the meat industry. Therefore, it is expected to have no direct impact on animal welfare policy.","1st February, 2024",,,[],"THE FINANCE BILL, 2024",Neutral,72,"The Finance Bill, 2024, proposes to continue the existing income-tax rates for the financial year 2024-2025 and introduce certain reliefs for taxpayers. It includes amendments to various enactments related to income tax, detailing modifications to income calculation, including provisions for net agricultural income, and setting commencement dates for different sections of the Act.",Ministry of Finance,False
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/194_2023_LS_Eng12182023125629PM.pdf?source=legislation,no,"No sections or clauses within the provided text are related to animals, animal welfare, animal testing, livestock, dairy, or the meat industry.","This bill is exclusively focused on telecommunication policy, infrastructure, and regulation. It has no direct or indirect impact on animal welfare policy, animal agriculture, or any related sectors.",2023 (Bill No. 194 of 2023),,,[],"THE TELECOMMUNICATIONS BILL, 2023",Neutral,73,"This bill seeks to amend and consolidate laws concerning the development, expansion, and operation of telecommunication services and networks in India, including the assignment of spectrum. It outlines provisions for authorization, right of way, standards, national security, user protection, and dispute resolution. Additionally, it proposes the establishment of a 'Digital Bharat Nidhi' fund and addresses regulatory aspects of telecommunication technology.","Central Government (implied: Ministry of Communications/IT, not explicitly stated in text)",False
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/158_2023_LS_E12132023123905PM.pdf?source=legislation,no,"This bill does not contain any provisions related to animals, animal welfare, animal testing, livestock, dairy, or the meat industry.","This bill, focusing on the provisional collection of customs and excise duties, has no direct bearing or stated impact on animal welfare policy. Its provisions are procedural for tax collection, not specific to any industry or animal-related matter.","The 5th December, 2023",,,[],"THE PROVISIONAL COLLECTION OF TAXES BILL, 2023",Neutral,74,"This bill provides for the immediate effect, for a limited period, of provisions in Bills relating to the imposition or increase of duties of customs or excise. It allows the Central Government to declare certain tax provisions to have immediate force of law upon introduction in Parliament. The bill also includes provisions for refunds if the final enactment differs or if the provisional collection ceases, and it repeals the Provisional Collection of Taxes Act, 1931.",Ministry of Finance and Corporate Affairs,False
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/159_2023_LS_E12132023123932PM.pdf?source=legislation,no,"Not applicable as the bill does not contain any content related to animals, animal welfare, or animal agriculture.","This bill amends the Central Goods and Services Tax Act, 2017, to streamline the appointment process and age limits for members of the Goods and Services Tax Appellate Tribunal (GSTAT), and to align it with the Tribunal Reforms Act, 2021. It focuses purely on administrative and judicial procedures related to tax appeals. Therefore, it has no direct or indirect impact on animal welfare policy, animal agriculture, or any animal-related matters.","The 5th December, 2023.",,,[],"THE CENTRAL GOODS AND SERVICES TAX (SECOND AMENDMENT) BILL, 2023",Neutral,75,"This bill proposes amendments to the Central Goods and Services Tax Act, 2017. Its primary aim is to revise the qualifications and age limits for the appointment of the President and Members of the Goods and Services Tax Appellate Tribunal (GSTAT). The amendments seek to align the CGST Act with the Tribunal Reforms Act, 2021, facilitating the early operationalization of the GSTAT to reduce the burden on High Courts regarding tax appeals.",Ministry of Finance and Corporate Affairs,False
https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/176_2023_LS_E1213202321915PM.pdf?source=legislation,yes,"The bill's extended protection from punitive action covers 'storages, warehouses and godowns used for agricultural inputs or produce (including dairy and poultry) in rural areas built on agricultural land'. This implies that unauthorized structures used for dairy and poultry farming or storage will continue to be protected from demolition or other punitive measures for the extended period.","The bill's primary focus is urban planning, land use, and the regularization of unauthorized constructions in Delhi. While it extends protection to existing unauthorized infrastructure related to 'dairy and poultry', it does not directly introduce or amend any policies concerning animal welfare, animal health, or specific agricultural practices. Its effect on animal welfare policy is indirect, primarily safeguarding the current operational status of certain unauthorized facilities involved in animal agriculture due to land-use regulations rather than animal treatment standards.","December 10, 2023",,,None explicitly mentioned. Hardeep S Puri is the Minister who introduced the bill.,"The National Capital Territory of Delhi Laws (Special Provisions) Second (Amendment) Bill, 2023",Neutral,76,"This bill seeks to extend the validity of the National Capital Territory of Delhi Laws (Special Provisions) Second Act, 2011, from December 31, 2023, to December 31, 2026. The extension is necessary to continue protecting various unauthorized developments, such as slums and unauthorized colonies, from punitive action. This allows more time for processes like conferring ownership rights to residents and finalizing the Master Plan for Delhi 2041.",Ministry of Housing and Urban Affairs (introduced by Hardeep S Puri),True
